央视频道,#genre#
CCTV1综合,http://118.248.168.52:8088/tsfile/live/0001_1.m3u8?$LR•336•IPV4『线路1』
CCTV1综合,http://171.38.223.24:8088/tsfile/live/0001_1.m3u8?$LR•336•IPV4『线路2』
CCTV1综合,http://171.38.223.69:8088/tsfile/live/0001_1.m3u8?$LR•336•IPV4『线路3』
CCTV1综合,http://171.38.216.179:8088/tsfile/live/0001_1.m3u8?$LR•336•IPV4『线路4』
CCTV1综合,http://171.38.193.169:8088/tsfile/live/0001_1.m3u8?$LR•336•IPV4『线路5』
CCTV1综合,http://171.38.193.193:8088/tsfile/live/0001_1.m3u8?$LR•336•IPV4『线路6』
CCTV1综合,http://171.38.193.252:8088/tsfile/live/0001_1.m3u8?$LR•336•IPV4『线路7』
CCTV1综合,http://171.38.192.35:8088/tsfile/live/0001_1.m3u8?$LR•336•IPV4『线路8』
CCTV1综合,http://171.38.192.214:8088/tsfile/live/0001_1.m3u8?$LR•336•IPV4『线路9』
CCTV1综合,http://58.19.43.46:9901/tsfile/live/1020_1.m3u8$LR•336•IPV4『线路10』
CCTV1综合,http://115.48.60.104:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路11』
CCTV1综合,http://113.57.111.4:1111/tsfile/live/1000_1.m3u8$LR•336•IPV4『线路12』
CCTV1综合,http://182.117.198.1:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路13』
CCTV1综合,http://124.231.212.230:9999/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路14』
CCTV1综合,http://113.15.185.150:8181/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路15』
CCTV1综合,http://125.43.241.34:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路16』
CCTV1综合,http://113.220.233.47:9999/tsfile/live/0017_1.m3u8$LR•336•IPV4『线路17』
CCTV1综合,http://106.118.70.215:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路18』
CCTV1综合,http://175.20.235.74:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路19』
CCTV1综合,http://125.43.245.50:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路20』
CCTV1综合,http://1.30.24.181:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路21』
CCTV1综合,http://115.48.63.125:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路22』
CCTV1综合,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路23』
CCTV1综合,http://183.136.148.214:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路24』
CCTV1综合,http://117.190.144.101:1111/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路25』
CCTV1综合,http://115.48.62.70:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路26』
CCTV1综合,http://125.107.154.147:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路27』
CCTV1综合,http://58.220.219.14:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路28』
CCTV1综合,http://123.161.39.128:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路29』
CCTV1综合,http://115.48.63.221:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路30』
CCTV1综合,http://114.105.187.147:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路31』
CCTV1综合,http://115.48.62.82:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路32』
CCTV1综合,http://113.236.31.149:9901/tsfile/live/1156_1.m3u8$LR•336•IPV4『线路33』
CCTV1综合,http://115.48.61.41:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路34』
CCTV1综合,http://111.8.242.126:9999/tsfile/live/1063_1.m3u8$LR•336•IPV4『线路35』
CCTV1综合,http://58.17.116.69:9903/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路36』
CCTV1综合,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路37』
CCTV1综合,http://118.77.152.195:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路38』
CCTV1综合,http://115.48.61.111:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路39』
CCTV1综合,http://144.52.160.109:9901/tsfile/live/1000_1.m3u8$LR•336•IPV4『线路40』
CCTV1综合,http://118.77.152.185:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路41』
CCTV1综合,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路42』
CCTV1综合,http://124.114.57.188:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路43』
CCTV1综合,http://14.212.185.71:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路44』
CCTV1综合,http://219.145.93.74:9999/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路45』
CCTV1综合,http://112.101.78.50:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路46』
CCTV1综合,http://112.234.21.109:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路47』
CCTV1综合,http://222.218.158.25:8181/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路48』
CCTV1综合,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路49』
CCTV1综合,http://113.15.184.196:8181/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路50』
CCTV1综合,http://220.170.241.204:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路51』
CCTV1综合,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路52』
CCTV1综合,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路53』
CCTV1综合,http://163.177.122.71:9901/tsfile/live/1019_1.m3u8$LR•336•IPV4『线路54』
CCTV1综合,http://171.110.42.239:8181/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路55』
CCTV1综合,http://175.16.180.250:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路56』
CCTV1综合,http://222.217.230.193:8181/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路57』
CCTV1综合,http://118.122.189.74:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路58』
CCTV1综合,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路59』
CCTV1综合,http://110.7.129.116:8096/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路60』
CCTV1综合,http://171.117.12.136:9999/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路61』
CCTV1综合,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8$LR•336•IPV4『线路62』
CCTV1综合,http://219.159.194.18:8181/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路63』
CCTV1综合,http://118.248.216.151:8088/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路64』
CCTV1综合,http://182.113.7.123:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路65』
CCTV1综合,http://125.107.69.141:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路66』
CCTV1综合,http://125.32.182.146:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路67』
CCTV1综合,http://163.177.122.122:9901/tsfile/live/1019_1.m3u8$LR•336•IPV4『线路68』
CCTV1综合,http://202.100.46.58:9901/tsfile/live/1000_1.m3u8$LR•336•IPV4『线路69』
CCTV1综合,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8$LR•336•IPV4『线路70』
CCTV1综合,http://60.210.100.54:352/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路71』
CCTV1综合,http://119.125.134.185:9902/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路72』
CCTV1综合,http://171.110.42.238:8181/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路73』
CCTV1综合,http://115.48.63.37:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路74』
CCTV1综合,http://119.163.199.98:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路75』
CCTV1综合,http://125.107.223.224:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路76』
CCTV1综合,http://110.7.130.51:8096/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路77』
CCTV1综合,http://110.7.130.91:8096/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路78』
CCTV1综合,http://110.80.17.38:9901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路79』
CCTV1综合,http://218.89.240.144:59901/tsfile/live/0001_1.m3u8$LR•336•IPV4『线路80』
